Sr.,Date,open ,high,low,close
306,06/04 15:05,2232.85,2233.9,2232.4,2233.5
307,06/04 15:04,2233.9,2233.9,2232.8,2232.85
308,06/04 15:03,2233.5,2234.5,2233.45,2233.9
309,06/04 15:02,2232.85,2234.55,2232.85,2234.55
310,06/04 15:01,2233.35,2234.25,2232.6,2232.85
311,06/04 15:00,2235.75,2235.75,2233.35,2233.35
312,06/04 14:59,2235.25,2235.75,2234.7,2234.7
313,06/04 14:58,2235.7,2235.7,2234.8,2235.25
314,06/04 14:57,2234.85,2235.7,2234.85,2235.7
315,06/04 14:56,2234.6,2235.4,2234.6,2234.85
316,06/04 14:55,2235.25,2235.25,2234.2,2234.6
317,06/04 14:54,2235.45,2236.15,2235.25,2235.25
318,06/04 14:53,2236.7,2236.7,2235.45,2235.45
319,06/04 14:52,2237.85,2237.85,2236.2,2236.7
320,06/04 14:51,2237.15,2237.85,2236.55,2237.85
321,06/04 14:50,2237.65,2237.65,2236.4,2237.15
322,06/04 14:49,2236.4,2237.7,2236.15,2237.65
323,06/04 14:48,2237.1,2237.55,2236.4,2236.4
324,06/04 14:47,2236.15,2237.75,2235.45,2237.1
325,06/04 14:46,2235.25,2236.3,2235.25,2236.15
326,06/04 14:45,2235.6,2235.7,2234.65,2235.25
327,06/04 14:44,2235.65,2236.65,2235.35,2235.6
328,06/04 14:43,2237.15,2237.45,2235.65,2235.65
329,06/04 14:42,2236.2,2237.55,2236.2,2237.15
330,06/04 14:41,2236.6,2237.15,2236.2,2236.2
331,06/04 14:40,2235.2,2237.15,2234.3,2236.7
332,06/04 14:39,2234.3,2235.2,2234.3,2235.2
333,06/04 14:38,2236.15,2236.15,2234.3,2234.3
334,06/04 14:37,2232.65,2236.15,2232.65,2236.15
335,06/04 14:36,2232.45,2232.65,2232.45,2232.65
336,06/04 14:35,2232.85,2234.3,2231.95,2232.45
337,06/04 14:34,2230.95,2232.85,2230.95,2232.85
338,06/04 14:33,2231.75,2232.55,2230.75,2230.95
339,06/04 14:32,2228.35,2231.8,2228.35,2231.75
340,06/04 14:31,2227.05,2228.75,2226.7,2228.35
341,06/04 14:30,2227.55,2227.55,2225.7,2227.05
342,06/04 14:29,2227.9,2229.05,2227.35,2227.55
343,06/04 14:28,2229.55,2230.2,2227.9,2227.9
344,06/04 14:27,2230.5,2230.5,2229.55,2229.55
345,06/04 14:26,2230.1,2230.5,2229.95,2230.5
346,06/04 14:25,2230.5,2230.95,2230.1,2230.1
347,06/04 14:24,2230.4,2230.5,2229.65,2230.5
348,06/04 14:23,2229.95,2230.4,2229.25,2230.4
349,06/04 14:22,2229.65,2230.0,2229.25,2229.95
350,06/04 14:21,2230.0,2230.5,2230.0,2230.5
351,06/04 14:20,2229.05,2230.0,2229.05,2230.0
352,06/04 14:19,2230.8,2230.8,2229.05,2229.05
353,06/04 14:18,2230.85,2230.85,2230.0,2230.8
354,06/04 14:17,2230.5,2230.9,2230.5,2230.85
355,06/04 14:16,2230.6,2230.6,2230.0,2230.5
356,06/04 14:15,2229.65,2230.7,2229.65,2230.6
357,06/04 14:14,2230.7,2230.75,2229.65,2229.65
358,06/04 14:13,2229.9,2230.7,2229.55,2230.7
359,06/04 14:12,2231.0,2231.0,2228.95,2229.9
360,06/04 14:11,2230.5,2231.0,2230.5,2231.0
361,06/04 14:10,2230.55,2230.55,2230.5,2230.5
362,06/04 14:09,2230.55,2231.55,2230.55,2230.55
363,06/04 14:08,2230.55,2230.55,2230.55,2230.55
364,06/04 14:07,2230.65,2231.6,2230.5,2230.55
365,06/04 14:06,2231.45,2231.45,2230.6,2230.65
366,06/04 14:05,2229.2,2231.45,2229.2,2231.45
367,06/04 14:04,2230.65,2231.0,2229.2,2229.2
368,06/04 14:03,2231.6,2231.9,2230.25,2230.65
369,06/04 14:02,2230.65,2231.6,2230.55,2231.6
370,06/04 14:01,2230.5,2231.45,2230.5,2230.55
371,06/04 14:00,2230.5,2230.85,2229.8,2230.5
372,06/04 13:59,2230.25,2230.5,2229.55,2230.5
373,06/04 13:58,2229.0,2230.25,2229.0,2230.25
374,06/04 13:57,2226.7,2229.1,2226.7,2229.0
375,06/04 13:56,2227.65,2228.1,2226.7,2226.7
376,06/04 13:55,2225.8,2227.85,2225.7,2227.65
377,06/04 13:54,2228.15,2228.15,2225.75,2225.8
378,06/04 13:53,2227.95,2228.5,2227.65,2228.15
379,06/04 13:52,2227.65,2227.95,2227.6,2227.95
380,06/04 13:51,2229.05,2229.05,2226.85,2227.65
381,06/04 13:50,2229.15,2229.5,2228.6,2229.5
382,06/04 13:49,2228.85,2229.15,2228.6,2229.15
383,06/04 13:48,2227.7,2229.15,2226.7,2228.85
384,06/04 13:47,2229.8,2229.9,2227.7,2227.7
385,06/04 13:46,2228.95,2229.75,2228.6,2229.75
386,06/04 13:45,2229.55,2229.55,2227.65,2227.65
387,06/04 13:44,2230.3,2230.5,2228.85,2229.55
388,06/04 13:43,2230.3,2230.3,2228.7,2230.3
389,06/04 13:42,2230.55,2230.55,2229.7,2230.3
390,06/04 13:41,2231.25,2231.25,2230.55,2230.55
391,06/04 13:40,2231.6,2231.85,2231.05,2231.25
392,06/04 13:39,2230.8,2231.45,2230.5,2230.5
393,06/04 13:38,2232.4,2232.4,2230.8,2230.8
